1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,,,,,,,,,,1.04,1.13,1.13,1.08,1.03,0.96,0.95,,,,,,,1,
0.8,0.82,0.79,0.8,0.93,0.84,0.87,0.88,0.9,0.91,0.94,0.96,0.98,0.98,0.98,0.99,1,1,1.01,1.01,1.01,1.02,,1.02,
,,,1,1,,,,1,1,1,1,1,1,0.99,1,1,1,1,1,1.01,1.01,1.02,1.02,
0.95,0.96,0.97,0.98,0.98,0.98,0.99,0.98,0.99,0.99, , , , ,0.94,0.96,0.99,0.97,,0.92,0.93,0.93,0.97, ,
1,1.01,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,
0.99,0.98,0.97,0.97,0.98,0.98,0.98,0.99,0.99,1,0.99,0.98,0.97,0.96,0.96,0.96,0.97,0.98,0.99,1,1.02,,1.03,1.04,
0.99,0.98,,0.98,0.99,0.99,0.99,,1.03,1.03,0.98,1,1.01,1,1,0.99,1.01,1,1,1,0.99,1,0.98,0.99,
,0.86,,,,,,,,,,,,,,,,,,,,,,,
0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.97,0.98,0.97,0.97,0.97,0.97,0.97,,,,
0.99,0.98,0.99,1,0.98,0.96,0.97,1,1,1,1,0.99,0.98,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,,,
0.98,0.96,0.96,0.97,0.97,,,0.98,0.98,0.98,0.97,0.99,0.99,0.99,0.98,0.97,0.98,0.98,1,0.99,0.99,,,0.96,
,0.99,0.98,0.98,,,0.98,0.98,,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.97,0.97,0.98,0.98,
,0.99,,,,0.99,,,0.95,0.93,0.95,0.95,0.95,0.95,0.95,0.95,0.97,0.97,,0.98,0.95,0.96,1.01,0.98,
,,,,,,,,,0.56,,0.62,0.66,0.69,0.71,0.74,,,0.8,,0.82,0.82,0.83,0.84,
,,,,0.91,0.92,0.91,,0.92,0.91,0.92,0.93,0.92,,0.94,0.94,0.97,0.96,0.96,0.98,1,0.98,0.99,0.99,
0.99,0.97,0.99,,,0.97,0.97,,0.97,0.97,0.97,0.97,0.98,0.99,,, ,,,,,,0.99,,
