Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,developed
Grenada,0.0,0.0,0.0,0.99,0.94,0.93,0.98,0.99,0.93,0.97,0.97,0.95,0.95,1,0.96,0.97,0.0,0.98,0.95,0.94,0.97,0.0,0.0,0.96,0.0,0.0,0.0,0
Guadeloupe,0.0,0.97,0.98,0.97,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Guam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Guatemala,0.0,0.87,0.87,0.87,0.86,0.86,0.86,0.86,0.87,0.87,0.89,0.9,0.91,0.0,0.92,0.92,0.93,0.94,0.94,0.96,0.96,0.97,0.96,0.96,0.0,0.0,0.0,0
Guinea,0.45,0.46,0.46,0.46,0.49,0.51,0.53,0.56,0.59,0.62,0.67,0.7,0.73,0.76,0.78,0.8,0.83,0.84,0.84,0.84,0.82,0.85,0.84,0.85,0.0,0.0,0.0,0
Guinea-Bissau,0.0,0.0,0.55,0.55,0.56,0.58,0.58,0.58,0.58,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0
Guyana,0.0,0.96,0.94,0.95,0.0,0.99,1.03,1.05,0.0,1.01,0.97,0.96,0.0,0.98,0.0,1.02,1.04,1.04,1.06,1.08,1.1,1.12,1.13,0.0,0.0,0.0,0.0,0
Haiti,0.0,0.0,0.96,0.95,0.95,0.95,0.95,0.96,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Honduras,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.04,1.01,1.01,0.0,0.0,0.99,0.99,0.99,0.99,1,1,1,1,1,1,0.99,0.0,0.0,0.0,0
Hungary,1,0.99,0.99,0.0,0.98,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.0,0.0,0.0,1
Iceland,0.0,0.0,0.0,1,1,1,1.01,1.01,0.99,0.98,0.98,0.99,0.99,0.98,0.98,0.98,0.99,1,1,1,1.01,1.01,1.01,0.0,0.0,0.0,0.0,1
India,0.74,0.76,0.77,0.8,0.81,0.81,0.82,0.83,0.83,0.84,0.84,0.85,0.87,0.97,0.0,0.0,0.0,0.98,1.01,1.02,1.01,1.02,1.03,0.0,0.0,0.0,0.0,0
Indonesia,0.96,0.98,0.99,0.97,0.97,0.96,0.96,0.97,0.94,0.97,0.97,0.98,0.98,0.98,0.99,0.98,0.98,0.97,0.99,0.99,1.04,1.04,1,0.0,0.0,0.0,0.0,0
Iran (Islamic Republic of),0.89,0.9,0.92,0.93,0.94,0.93,0.93,0.93,0.93,0.94,0.94,0.95,0.95,0.96,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,1.02,0.0,0.0,0.0,0
Iraq,0.0,0.85,0.86,0.85,0.0,0.0,0.86,0.0,0.0,0.83,0.83,0.0,0.0,0.85,0.84,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ireland,1.01,1.01,1,1,1,1,1,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1,0.99,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1
Israel,1.03,1.03,1.01,1.01,1,0.0,0.0,0.0,0.0,0.99,0.99,1,1,1,1,1.01,1.01,1.01,1.01,1.01,1,1,1,1,0.0,0.0,0.0,1
Italy,1,1,1,1.03,1.04,0.98,0.99,0.99,0.99,0.99,1,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.0,0.0,0.0,0.0,1
Jamaica,0.99,1,0.0,0.97,0.0,0.0,0.0,0.0,0.0,1,0.99,0.99,0.99,0.99,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Japan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1
Jordan,1,1.01,1.02,1.01,1.01,1.01,1.01,0.0,1.01,1.02,1.01,0.0,1.01,1.01,1.01,1.01,1.02,1.01,1,0.0,0.98,0.98,0.98,0.0,0.0,0.0,0.0,0
Kazakhstan,1.05,1.04,1.06,1.06,1.01,1.01,1.01,1.01,1.02,1.01,1.01,1,1,1,1,1,1,1,0.99,1,1,1.01,1.01,1.01,0.0,0.0,0.0,0
Kenya,0.97,0.97,0.97,0.98,0.99,0.98,0.0,0.0,0.98,0.97,0.99,0.98,0.95,0.95,0.94,0.96,0.97,0.99,0.98,0.98,0.0,0.0,1,0.0,0.0,0.0,0.0,0
Kiribati,1.01,1.01,1.02,1.03,1.02,1.03,1.03,1.02,1.02,1.01,0.97,1.03,1.01,0.99,1.03,1.02,1,1.03,1.04,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Korea, Democratic People's Republic of",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Korea, Republic of",1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.02,1.01,1.01,1,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.0,0.99,0.99,0.0,0.0,0
Kuwait,0.98,0.96,0.98,1,1.02,1.07,1.01,1.03,1.03,1.01,1,0.98,0.97,0.99,0.99,0.98,0.99,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kyrgyzstan,1.02,0.0,1.01,1.01,1.02,1.01,0.97,0.95,0.94,0.99,0.98,0.98,0.98,0.99,1,0.99,0.99,0.99,1,1,0.99,0.99,0.98,0.98,0.0,0.0,0.0,0
Lao People's Democratic Republic,0.79,0.79,0.8,0.79,0.79,0.81,0.81,0.82,0.83,0.85,0.85,0.86,0.86,0.87,0.88,0.88,0.88,0.89,0.9,0.91,0.93,0.94,0.95,0.95,0.0,0.0,0.0,0
Latvia,1.07,1,1.01,1.01,1,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.97,0.96,0.96,0.97,0.96,0.96,0.98,0.99,1,0.99,0.99,0.0,0.0,0.0,1
Lebanon,0.0,0.0,1,0.0,1,0.99,0.99,0.97,0.97,0.97,0.97,0.99,0.96,0.94,0.93,0.92,0.91,0.91,0.91,0.92,0.91,0.91,0.91,0.92,0.0,0.0,0.0,0
Lesotho,1.25,1.26,1.23,1.2,1.17,1.15,1.14,1.11,1.11,1.1,1.05,1.03,1.02,1.02,1.01,1.01,1,1,1,1,0.98,0.97,0.97,0.98,0.0,0.0,0.0,0
Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.75,0.74,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.91,0.9,0.0,0.92,0.0,0.0,0.92,0.0,0.0,0
Libyan Arab Jamahiriya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,1.02,1,0.97,0.97,0.99,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.99,0.0,1.03,0.99,0.96,1.02,0.94,1.01,1.02,0.0,0.0,0.0,0.0,1
Lithuania,0.0,0.93,0.94,0.95,0.92,0.97,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.97,0.97,0.98,0.98,0.99,0.99,0.0,0.0,0.0,1
Luxembourg,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,1.01,1,0.99,1,1,1,1.01,1,1.01,0.0,1.01,1.02,1.01,0.0,0.0,0.0,0.0,1
Madagascar,0.96,0.98,0.92,0.96,0.97,1.04,0.96,0.0,0.96,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.0,0.0,0.0,0
Malawi,0.87,0.87,0.87,0.95,0.96,0.92,0.92,0.0,0.0,0.96,0.97,0.97,0.97,0.0,1.03,1.03,1.04,1.04,1.03,1.03,1.04,1.04,1.04,1.03,0.0,0.0,0.0,0
Malaysia,1,1,1,1,1,1,1,0.0,1,0.99,1,0.99,0.98,0.96,0.95,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
