CountryCode,Country,SeriesCode,MDG,Series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
100,Bulgaria,611,Y,Gender Parity Index in primary level enrolment,0.98,0.98,0.98,0.98,1,0.99,0.98,0.98,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,1,1,1,1,0.99,0.99,, , 
854,Burkina Faso,611,Y,Gender Parity Index in primary level enrolment,0.63,0.64,0.65,0.65,0.66,0.66,0.67,,0.69,0.7,0.71,0.72,0.74,0.75,0.78,0.8,0.82,0.84,0.87,0.89,0.91,0.93,0.95,0.97,, , 
108,Burundi,611,Y,Gender Parity Index in primary level enrolment,0.8,0.84,0.82,0.82,,0.8,0.85,0.84,0.81,0.78,0.79,0.79,0.77,0.79,0.82,0.84,0.89,0.91,0.93,0.95,0.97,0.98,0.99,1.01,, , 
116,Cambodia,611,Y,Gender Parity Index in primary level enrolment,,,,,0.84,0.82,,0.83,0.84,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.94,0.94,0.94,0.96,0.95,0.95,0.93,, , 
120,Cameroon,611,Y,Gender Parity Index in primary level enrolment,0.86,0.86,0.92,,0.9,0.9,0.86,0.87,0.83,0.82,0.85,0.87,0.86,0.85,0.86,0.84,0.84,0.86,0.86,0.87,0.86,0.87,0.88,,0.89, , 
124,Canada,611,Y,Gender Parity Index in primary level enrolment,0.99,0.98,0.99,0.99,0.99,0.99,0.99,,1,1,1,,,,0.99,0.99,0.99,1,1,1,1,1.01,1.01,,, , 
132,Cape Verde,611,Y,Gender Parity Index in primary level enrolment,0.97,0.99,,,0.97,,,,0.96,0.95,0.96,0.96,0.96,0.95,0.95,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.91,0.92,, , 
136,Cayman Islands,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,, , , , ,, , , , , ,,, , , ,, , 
140,Central African Republic,611,Y,Gender Parity Index in primary level enrolment,0.63,0.64,0.66,,,,,,,,,0.68,0.67,0.69,0.66,0.69,0.69,0.7,0.7,0.71,0.71,0.73,0.74,,, , 
148,Chad,611,Y,Gender Parity Index in primary level enrolment,0.44,0.46,0.48,0.48,0.48,0.49,0.5,0.53,0.55,0.59,0.61,0.64,0.65,0.67,0.66,0.68,0.68,0.7,0.71,0.71,0.74,0.75,0.76,0.77,, , 
830,Channel Islands,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,,,,,,,,,,,,,,,, , 
152,Chile,611,Y,Gender Parity Index in primary level enrolment,0.98,0.98,0.98,0.98,,,0.97,0.97,0.97,0.97,0.98,,0.98,0.97,0.95,0.96,0.95,0.95,0.95,0.95,0.97,0.97,0.97,0.97,, , 
156,China,611,Y,Gender Parity Index in primary level enrolment,0.9,0.91,0.93,0.93,0.94,0.96,0.97,0.98,0.99, , ,1.01,1.01,1.01, , ,1,1,1,1,1,1,1,1.01,, , 
344,"China, Hong Kong Special Administrative Region",611,Y,Gender Parity Index in primary level enrolment,,,,,,1,0.99,,0.98,0.97, , , , , , , , ,0.98,0.98,0.98,0.98,0.98,0.98,, , 
446,"China, Macao Special Administrative Region",611,Y,Gender Parity Index in primary level enrolment,0.95,0.96,0.96,0.96,,,,,,0.99, , , , , , , , , , , , , , ,, , 
170,Colombia,611,Y,Gender Parity Index in primary level enrolment,1.15,1.02,1.06,1.02,0.99,0.99,1,,0.97,1,1,0.99,0.99,,0.99,0.98,0.98,0.99,0.99,1,0.98, , , ,, , 
174,Comoros,611,Y,Gender Parity Index in primary level enrolment,0.7,0.73,0.84,0.87,0.82,,,,0.85,0.85,0.85,,0.82,0.82,0.88,,,0.9,0.92,,,0.85,,0.94,, , 
178,Congo,611,Y,Gender Parity Index in primary level enrolment,0.94,0.92,0.94,0.94,0.94,0.85,0.94,0.9,0.9,0.96,0.92,0.94,0.94,0.94,0.94,0.93,0.91,0.93,0.93,0.93,0.95,0.94,1.07,,, , 
184,Cook Islands,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,1,0.95,1.01,0.96,0.96,0.97,,1.03,,0.95,,1.01,0.99,0.97,0.95,0.98,, , 
188,Costa Rica,611,Y,Gender Parity Index in primary level enrolment,0.99,0.99,0.99,0.99,1,1,1,0.99,0.99,0.99,0.98,0.99,0.98,,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,, , 
384,Cote d'Ivoire,611,Y,Gender Parity Index in primary level enrolment,0.71,0.71,0.71,0.71,0.72,0.73,0.73,0.74,0.75,0.75,0.75,0.77,0.74,0.8,,,0.8,0.8,0.8,0.82,,0.84,0.85,0.87,, , 
191,Croatia,611,Y,Gender Parity Index in primary level enrolment,,,,1,1,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,,1,0.99,1,1,1,1,0.99,1,,, , 
192,Cuba,611,Y,Gender Parity Index in primary level enrolment,0.96,0.97,0.99,0.99,1,1,0.97,0.97,0.96,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,, , 
196,Cyprus,611,Y,Gender Parity Index in primary level enrolment,1,1,0.99,1,1,1,0.99,1,,1,1,1,1,1,1,1,1,0.99,0.99,0.99,1,0.99,1, ,, , 
203,Czech Republic,611,Y,Gender Parity Index in primary level enrolment,1,1,1.17,1.01,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1,1,1.01,1.01,, , 
200,Czechoslovakia [former],611,Y,Gender Parity Index in primary level enrolment, , , , , , , , , , , , , , , , , , , , , , , , , , , 
180,Democratic Republic of the Congo,611,Y,Gender Parity Index in primary level enrolment,0.71,0.75,0.76,0.78,0.75,0.69,,,0.74,0.91,,,0.79,,,,,0.81,0.84,0.85,0.87,0.87,0.88,0.9,, , 
208,Denmark,611,Y,Gender Parity Index in primary level enrolment,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1.01,1,1,0.99,0.99,0.99,, , 
262,Djibouti,611,Y,Gender Parity Index in primary level enrolment,0.74,0.72,0.73,0.78,0.78,0.78,0.75,0.75,0.76,0.72,0.74,0.75,0.77,,0.8,0.82,0.82,0.87,0.89,0.9,,0.91,0.9,0.88,0.87, , 
212,Dominica,611,Y,Gender Parity Index in primary level enrolment,0.94,0.98,1.01,1.07,1.11,1.14,,,,1.03,1.02,1.01,1,1.01,1,1,0.99,0.97,0.97,0.97,0.98,0.99,0.97,0.98,, , 
214,Dominican Republic,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,0.97,0.98,0.97,,1.01,1.01,0.95,0.95,0.95,0.94,0.93,0.86,0.88,0.91,0.91,,, , 
218,Ecuador,611,Y,Gender Parity Index in primary level enrolment,,,,0.99,0.99,0.99,0.99,0.99,1,1,0.99,1,1,1,1,1,0.99,1,,1.01,1,1,1,1,, , 
818,Egypt,611,Y,Gender Parity Index in primary level enrolment,0.84,0.83,0.85,0.86,0.85,0.88,0.76,0.87,,0.92,0.92,0.93,0.94,0.95,0.96,0.94,0.94,0.95, ,0.96,0.96,0.94,0.96,0.98,, , 
222,El Salvador,611,Y,Gender Parity Index in primary level enrolment,,0.99,0.99,0.99,,1,0.98,0.99,0.98,0.97,0.96,0.97,0.96,0.97,0.97,0.97,0.97,1,0.97,0.97,0.96,0.96,0.96,0.96,, , 
226,Equatorial Guinea,611,Y,Gender Parity Index in primary level enrolment,,,,0.94,0.96,,,,,,0.82,0.96,0.94,0.97, ,0.95,,,0.95,0.96,0.97,0.98,0.98,,, , 
232,Eritrea,611,Y,Gender Parity Index in primary level enrolment, , , , , , , , ,, , , , , , , , , , , , , , , ,, , 
233,Estonia,611,Y,Gender Parity Index in primary level enrolment,0.97,0.97,0.97,0.98,0.98,0.97,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.96,0.97,0.97,0.98,0.99,0.99,0.99,1,1.01,1.01,1,, , 
231,Ethiopia,611,Y,Gender Parity Index in primary level enrolment,0.66,0.67,0.73,0.7,0.63,0.6,0.57,0.56,0.59,0.61,0.65,0.69,0.72,0.73,0.78,0.84,0.87, , , , , , ,,, , 
97,European Union (EU),611,Y,Gender Parity Index in primary level enrolment, , , , , , , , , , , , , , , , , , , , , , , , , , , 
234,Faeroe Islands,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,,,,,,,,,,,,,,,, , 
238,Falkland Islands (Malvinas),611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,,,,,,,,,,,,,,,, , 
242,Fiji,611,Y,Gender Parity Index in primary level enrolment,,1,0.99,,0.99,1,0.98,0.98,0.99,0.99,0.98,0.99,1.01,1,0.99,,0.99,0.98,1,0.98,,1,1.01, ,, , 
246,Finland,611,Y,Gender Parity Index in primary level enrolment,0.99,0.99,1,1,1,1,1,1,1,1,0.99,0.99,0.99,0.99,0.99,0.99,1,1,0.99,0.99,0.99,0.99,0.99,1,, , 
250,France,611,Y,Gender Parity Index in primary level enrolment,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1,1,1,, , 
254,French Guiana,611,Y,Gender Parity Index in primary level enrolment,,,,,0.97,0.99,0.99,,,,,,,,,,,,,,,,,,, , 
258,French Polynesia,611,Y,Gender Parity Index in primary level enrolment,0.96,0.96,0.97,0.98,0.97,0.98,0.97,,,,,,,,,,,,,,,,,,, , 
266,Gabon,611,Y,Gender Parity Index in primary level enrolment,,,1,,1,1,1,1,,1,,1,1,1,,,,,,,,0.97,,,, , 
270,Gambia,611,Y,Gender Parity Index in primary level enrolment,,,0.69,0.71,0.73,0.75,0.78,0.8,0.82,0.84,0.87,0.9,0.9,0.98,1.01,1.03,1.05,1.05,1.06, ,1.02,1.04,1.04,1.04,, , 
268,Georgia,611,Y,Gender Parity Index in primary level enrolment,,1,0.99,1,0.93,0.98,1.01,0.99,1,0.99,0.99,1.01,1.01,0.98,0.96,0.97,1.02,0.98,1,1.01,1.03,1.03,1.01,1.01,, , 
276,Germany,611,Y,Gender Parity Index in primary level enrolment,,,1.01,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1,1,1,1,0.99,1,0.99,, , 
288,Ghana,611,Y,Gender Parity Index in primary level enrolment,0.84,0.86,0.87,0.88,0.89,0.9,,,,0.92,0.93,0.94,0.94,0.98,0.94,0.96,0.98,0.98,0.98,0.98,,0.99,0.96,1,1, , 
292,Gibraltar,611,Y,Gender Parity Index in primary level enrolment, , , , , , , , , , , , , , , , , , , , , , , , , , , 
300,Greece,611,Y,Gender Parity Index in primary level enrolment,1,0.99,1,1,1,1.02,1,1.01,1,1,1,1,0.99,0.99,0.99,1,1,1,,,1,1,1,,, , 
304,Greenland,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,,,,,,,,,,,,,,,, , 
308,Grenada,611,Y,Gender Parity Index in primary level enrolment,,,,0.99,0.94,0.93,0.98,0.99,0.93,0.97,0.97,0.95,0.95,1,0.96,0.97, ,0.98,0.95,0.94,0.97,,,0.96,, , 
312,Guadeloupe,611,Y,Gender Parity Index in primary level enrolment,,0.97,0.98,0.97,0.97,,,,,,,,,,,,,,,,,,,,, , 
316,Guam,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,,,,,,,,,,,,,,,, , 
320,Guatemala,611,Y,Gender Parity Index in primary level enrolment,,0.87,0.87,0.87,0.86,0.86,0.86,0.86,0.87,0.87,0.89,0.9,0.91,,0.92,0.92,0.93,0.94,0.94,0.96,0.96,0.97,0.96,0.96,, , 
324,Guinea,611,Y,Gender Parity Index in primary level enrolment,0.45,0.46,0.46,0.46,0.49,0.51,0.53,0.56,0.59,0.62,0.67,0.7,0.73,0.76,0.78,0.8,0.83,0.84,0.84,0.84,0.82,0.85,0.84,0.85,, , 
624,Guinea-Bissau,611,Y,Gender Parity Index in primary level enrolment,,,0.55,0.55,0.56,0.58,0.58,0.58,0.58,,0.67,,,,,,,,,,0.93,,,,, , 
328,Guyana,611,Y,Gender Parity Index in primary level enrolment,,0.96,0.94,0.95,,0.99,1.03,1.05,,1.01,0.97,0.96,,0.98,,1.02,1.04,1.04,1.06,1.08,1.1,1.12,1.13,,, , 
332,Haiti,611,Y,Gender Parity Index in primary level enrolment,,,0.96,0.95,0.95,0.95,0.95,0.96,0.98,,, ,,,, ,,,, ,,, ,,, , 
340,Honduras,611,Y,Gender Parity Index in primary level enrolment,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.04,1.01,1.01,,,0.99,0.99,0.99,0.99,1,1,1,1,1,1,0.99,, , 
348,Hungary,611,Y,Gender Parity Index in primary level enrolment,1,0.99,0.99,,0.98,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,, , 
352,Iceland,611,Y,Gender Parity Index in primary level enrolment,,,,1,1,1,1.01,1.01,0.99,0.98,0.98,0.99,0.99,0.98,0.98,0.98,0.99,1,1,1,1.01,1.01,1.01,,, , 
356,India,611,Y,Gender Parity Index in primary level enrolment,0.74,0.76,0.77,0.8,0.81,0.81,0.82,0.83,0.83,0.84,0.84,0.85,0.87,0.97, , , ,0.98,1.01,1.02,1.01,1.02,1.03,,, , 
360,Indonesia,611,Y,Gender Parity Index in primary level enrolment,0.96,0.98,0.99,0.97,0.97,0.96,0.96,0.97,0.94,0.97,0.97,0.98,0.98,0.98,0.99,0.98,0.98,0.97,0.99,0.99,1.04,1.04,1,,, , 
364,Iran (Islamic Republic of),611,Y,Gender Parity Index in primary level enrolment,0.89,0.9,0.92,0.93,0.94,0.93,0.93,0.93,0.93,0.94,0.94,0.95,0.95,0.96,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,1.02,, , 
368,Iraq,611,Y,Gender Parity Index in primary level enrolment,,0.85,0.86,0.85,,,0.86,,,0.83,0.83,,,0.85,0.84,,,0.84, , ,, , , ,, , 
372,Ireland,611,Y,Gender Parity Index in primary level enrolment,1.01,1.01,1,1,1,1,1,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1,0.99,1,1,1,1,1,1,,, , 
376,Israel,611,Y,Gender Parity Index in primary level enrolment,1.03,1.03,1.01,1.01,1,,,,,0.99,0.99,1,1,1,1,1.01,1.01,1.01,1.01,1.01,1,1,1,1,, , 
380,Italy,611,Y,Gender Parity Index in primary level enrolment,1,1,1,1.03,1.04,0.98,0.99,0.99,0.99,0.99,1,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,,, , 
388,Jamaica,611,Y,Gender Parity Index in primary level enrolment,0.99,1,,0.97,,,,,,1,0.99,0.99,0.99,0.99,0.99, ,, , , , , , , ,, , 
392,Japan,611,Y,Gender Parity Index in primary level enrolment,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,, , 
400,Jordan,611,Y,Gender Parity Index in primary level enrolment,1,1.01,1.02,1.01,1.01,1.01,1.01,,1.01,1.02,1.01,,1.01,1.01,1.01,1.01,1.02,1.01,1, ,0.98,0.98,0.98,,, , 
398,Kazakhstan,611,Y,Gender Parity Index in primary level enrolment,1.05,1.04,1.06,1.06,1.01,1.01,1.01,1.01,1.02,1.01,1.01,1,1,1,1,1,1,1,0.99,1,1,1.01,1.01,1.01, , , 
404,Kenya,611,Y,Gender Parity Index in primary level enrolment,0.97,0.97,0.97,0.98,0.99,0.98,,,0.98,0.97,0.99,0.98,0.95,0.95,0.94,0.96,0.97,0.99,0.98,0.98,,,1,,, , 
296,Kiribati,611,Y,Gender Parity Index in primary level enrolment,1.01,1.01,1.02,1.03,1.02,1.03,1.03,1.02,1.02,1.01,0.97,1.03,1.01,0.99,1.03,1.02,1,1.03,1.04,1.04,,,,,, , 
408,"Korea, Democratic People's Republic of",611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,,,,,,,,,, ,, ,,,, , 
410,"Korea, Republic of",611,Y,Gender Parity Index in primary level enrolment,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.02,1.01,1.01,1,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,,0.99,0.99, , 
414,Kuwait,611,Y,Gender Parity Index in primary level enrolment,0.98,0.96,0.98,1,1.02,1.07,1.01,1.03,1.03,1.01,1,0.98,0.97,0.99,0.99,0.98,0.99,0.99, , , , , , ,, , 
417,Kyrgyzstan,611,Y,Gender Parity Index in primary level enrolment,1.02,,1.01,1.01,1.02,1.01,0.97,0.95,0.94,0.99,0.98,0.98,0.98,0.99,1,0.99,0.99,0.99,1,1,0.99,0.99,0.98,0.98,, , 
418,Lao People's Democratic Republic,611,Y,Gender Parity Index in primary level enrolment,0.79,0.79,0.8,0.79,0.79,0.81,0.81,0.82,0.83,0.85,0.85,0.86,0.86,0.87,0.88,0.88,0.88,0.89,0.9,0.91,0.93,0.94,0.95,0.95,, , 
428,Latvia,611,Y,Gender Parity Index in primary level enrolment,1.07,1,1.01,1.01,1,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.97,0.96,0.96,0.97,0.96,0.96,0.98,0.99,1,0.99,0.99,, , 
422,Lebanon,611,Y,Gender Parity Index in primary level enrolment,,,1,,1,0.99,0.99,0.97,0.97,0.97,0.97,0.99,0.96,0.94,0.93,0.92,0.91,0.91,0.91,0.92,0.91,0.91,0.91,0.92,, , 
426,Lesotho,611,Y,Gender Parity Index in primary level enrolment,1.25,1.26,1.23,1.2,1.17,1.15,1.14,1.11,1.11,1.1,1.05,1.03,1.02,1.02,1.01,1.01,1,1,1,1,0.98,0.97,0.97,0.98,, , 
430,Liberia,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,0.65,0.75,0.74,,,,,,0.92,,0.91,0.9,,0.92,,,0.92, , 
434,Libyan Arab Jamahiriya,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,0.99,,1.02,1,0.97,0.97,0.99,0.96,,,,,,,,, , 
438,Liechtenstein,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,,,,1.02,0.99,,1.03,0.99,0.96,1.02,0.94,1.01,1.02,,, , 
440,Lithuania,611,Y,Gender Parity Index in primary level enrolment,,0.93,0.94,0.95,0.92,0.97,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.97,0.97,0.98,0.98,0.99,0.99,, , 
442,Luxembourg,611,Y,Gender Parity Index in primary level enrolment,,1.08,,,,,,,,1.01,1.01,1,0.99,1,1,1,1.01,1,1.01,,1.01,1.02,1.01,,, , 
450,Madagascar,611,Y,Gender Parity Index in primary level enrolment,0.96,0.98,0.92,0.96,0.97,1.04,0.96,,0.96,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.99,0.99,, , 
454,Malawi,611,Y,Gender Parity Index in primary level enrolment,0.87,0.87,0.87,0.95,0.96,0.92,0.92,,,0.96,0.97,0.97,0.97,,1.03,1.03,1.04,1.04,1.03,1.03,1.04,1.04,1.04,1.03,, , 
458,Malaysia,611,Y,Gender Parity Index in primary level enrolment,1,1,1,1,1,1,1,,1,0.99,1,0.99,0.98,0.96,0.95,0.94, , , , , , , ,,, , 
462,Maldives,611,Y,Gender Parity Index in primary level enrolment,,,1,0.99,0.98,0.97,0.97,0.97,1.01,1.01,1,1,0.99,0.98,0.97,0.98,0.97,0.97, , , , , ,,, , 
466,Mali,611,Y,Gender Parity Index in primary level enrolment,0.61,0.61,0.61,0.62,0.64,0.69,0.67,0.67,0.71,0.72,0.75,0.74,0.76,0.77,0.79,0.8,0.82,0.83,0.85,0.86,0.87,0.88,0.88, ,, , 
470,Malta,611,Y,Gender Parity Index in primary level enrolment,0.97,0.97,0.98,0.98,0.98,0.97,0.99,0.99,1,1,1,0.99,0.98,0.98,0.98,0.97,0.99,1,1.01,1.02,1.02,1.02,1,,, , 
584,Marshall Islands,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,0.99,,,0.93,1.02,0.95,1.26,1,0.99,1.01,1,,0.99, ,,, , 
474,Martinique,611,Y,Gender Parity Index in primary level enrolment,0.96,0.97,0.97,0.99,0.98,0.98,0.97,,,,,,,,,,,,,,,,,,, , 
478,Mauritania,611,Y,Gender Parity Index in primary level enrolment,0.73,0.75,0.78,0.82,0.84,0.84,0.87,0.91,0.94,0.97,0.97,0.96,0.98,1,1.01,1.03,1.02,1.03,1.04,1.05,1.05,1.06,1.05,1.05,, , 
480,Mauritius,611,Y,Gender Parity Index in primary level enrolment,1.01,1.01,1.01,1.01,1,1,0.99,1,1,1,0.99,0.99,1,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,, , 
175,Mayotte,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,,,,,,,,,,,,,,,, , 
484,Mexico,611,Y,Gender Parity Index in primary level enrolment,0.97,0.97,0.97,0.96,0.95,0.94,0.93,0.93,0.93,0.94,0.94,0.95,0.96,0.96,0.97,0.97,0.98,0.99,1,1,1,1,1,1,, , 
583,"Micronesia, Federated States of",611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,, ,, ,,,0.98,0.97,,1.01,,,,,,,0.99, , 
492,Monaco,611,Y,Gender Parity Index in primary level enrolment,,,,,,,,,,,,,,,,,,,,,,,,,, , 
